Key,english
modGunMeleeTheHunterBWDesc,50% dismember chance against animals and zombie animals with a headshot. 50% extra damage against animals and zombie animals. Apply 25 stacks of bleed with firerams or bows/crossbows to animals and zombie animals if they happen to survive. Max 25 stacks.
modGunMeleeRadRemoverBWDesc,Each hit prevents radiated zombies from regenerating health for 90 seconds. Deal 50% more damage to radiated zombies with headshots.
modMeleeTemperedBladeBWDesc,This blade modification increases block damage by 10% and lowers degradation by 30%.
modMeleeSerratedBladeBWDesc,Each attack has a 75% chance of applying 7 bleed stacks to an enemy. Stacks up to a max of 25.
modMeleeWeightedHeadBWDesc,10% extra block damage. Primary attacks have a 30% chance of slowing enemies down. Secondary attacks have a 20% chance of of ragdolling enemies.
modMeleeStructuralBraceBWDesc,40% less degradation per use. 10% faster attack speed.
modMeleeErgonomicGripBWDesc,Attacks require 25% less stamina. Drawing bows requires 10% less stamina. 10% faster attack speed with melee weapons.
modMeleeFortifyingGripBWDesc,Regenerate 3-4 health ever 5 seconds when under 50% health. 10% faster attack speed.
modMeleeClubBarbedWireBWDesc,Primary attacks have a 75% chance of applying 10 bleed stacks. Secondary attacks have a 100% chance of applying 15 bleed stacks. Stacks up to a max of 25.
modMeleeClubMetalSpikesBWDesc,Each attack reduces enemy armor. Each attack applies 5 bleed stacks. Max 25 stacks.
modMeleeClubMetalChainBWDesc,Primary attacks have a 25% chance to knock down enemies. Secondary attacks have a 40% chance to ragdoll enemies. Both attacks have a 25% chance of applying 1 bleed stack. Max 25 stacks.
modMeleeClubBurningShaftBWDesc,Each attack has a 30% chance of setting an enemy on fire. 
modMeleeFiremansAxeModBWDesc,Deal 100% more damage to blocks.
modMeleeGraveDiggerBWDesc,Deal 50% more damage to clay/sand/grass. Also grants 5% less degradation.
modMeleeBunkerBusterBWDesc,Deal 50% more damage to stone. Also grants 5% less degradation.
modMeleeIronBreakerBWDesc,Deal 50% more damage to iron. Also grants 5% less degradation.
modMeleeWoodSplitterBWDesc,Deal 50% more damage to wood. Also grants 5% less degradation.
modMeleeDiamondTipBWDesc,Deal 75% more damage to clay/sand/grass/iron/stone/wood. Also grants 75% less degradation.
modFuelTankLargeBWDesc,+150% fuel tank size. Refill fuel tank 15% faster.
modFuelTankSmallBWDesc,+75% fuel tank size. Refill fuel tank 30% fater.
modMeleeStunBatonRepulsorBWDesc,Stun baton charged attacks make enemies ragdoll away with a considerable force. The repulsor instability can cause overheat, having a 25% chance of causing electrocuted enemies to catch on fire when hit.
modArmorInsulatedLinerBWDesc,Grants 15% resistance to cold temperatures as well as 2% elemental damage resistance and 2.5% explosion resistance.
modArmorCoolingMeshBWDesc,Grants 15% resistance to hot temperatures as well as 2% elemental damage resistance and 2.5% explosion resistance.
modArmorPlatingBasicBWDesc,Grants 1% damage reduction as well as 5% resistance from elemental damage and 5% from explosive damage.
modArmorPlatingReinforcedBWDesc,Grants 2% damage reduction as well as 10% resistance from elemental damage and 10% from explosive damage.
modArmorStoragePocketBWDesc,Grants +1 backpack slot and 2.5% reload speed.
modArmorDoubleStoragePocketBWDesc,Grants +2 backpack slots and 5% reload speed.
modArmorTripleStoragePocketBWDesc,Grants +3 backpack slots and 7.5% reload speed.
modArmorImpactBracingBWDesc,Increases maximum safe height from taking fall damage by 5 blocks. Grants a 0.5m jump height bonus.
modClothingCargoStoragePocketBWDesc,Grants +4 backpack slots.
modClothingStoragePocketBWDesc,Grants +2 backpack slots.
modArmorCowboyHatBWDesc,A cowboy hat once owned by a guy named Arthur. Some say that it makes you shoot revolvers 25% faster.
modArmorPressboyCapBWDesc,Some mafia guy with a cigarette said that this grants 25% faster fire rate for weapons that use 9mm ammo.
modArmorSkullCapBWDesc,A guy by the name of Price said that this makes your sniper rifle deal more damage.
modArmorBallCapBWDesc,American dads say that this cap makes you swing your club about 25% harder for increased damage.
modArmorWaterPurifierBWDesc,Allows you to drink murky water safely. Swimming underwater and standing in the rain/snow will restore thirst.
modArmorBandolierBWDesc,Grants +5 backpack slots and 30% faster reload speed. Reload speed doesn't stack but the backpack slots will.
modArmorPerceptionBWDesc,Grants +2 points into perception and 10% explosion damage resistance.
modArmorStrengthBWDesc,Grants +2 points into Strength and +5 inventory slots.
modArmorFortitudeBWDesc,Grants +2 points into Fortitude and 5% damage resistance.
modArmorAgilityBWDesc,Grants +2 points into Agility and 0.5m height jump bonus.
modArmorIntellectBWDesc,Grants +2 points into Intellect and 10% faster crafting time.
modArmorQuadStoragePocketBWDesc,Grants +4 inventory slots and 10% faster reload speed.
modArmorTreasureHunterBWDesc,This AI-enhanced headgear mod boosts learning speed and improves the user's ability to discover valuable loot and buried treasures.\n\n+20% XP Gain\n+10 Loot Stage\nTreasure Radius -2\n+1 Perception
modArmorNightVisionBWDesc,See in the dark with this high tech night vision head armor mod.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate.\n+20% damage at night\n+1 Intellect
modArmorStealthBootsBWDesc,Reduces the noise and stamina penalties of medium and heavy boots.\n\n+20% walk speed and 10% run speed when wearing medium armor\n+10% walk speed and 5% run speed when wearing heavy armor\n +1 Agility
modArmorCigarBWDesc,Look intimidating and get a better deal from traders. Also boosts strength and fortitude! \n\n+15% bartering\n+1 strength\n+1 fortitude
